x,y
6580,4588
13232,16815
15692,21014
8944,16303
14714,6842
6580,13885
12873,15483
13192,2050
4588,19274
673,12645
19506,18485
4830,18355
1496,8375
6037,853
14653,12299
1942,4629
10207,15132
3199,673
4125,16536
4234,10470
17403,15537
673,14552
19506,5059
8688,412
8488,2795
14552,19210
11680,7280
4588,19391
6338,13992
21524,20804
18648,3697
12699,7237
8150,15813
8256,16754
12699,15371
10717,8433
10269,20742
14174,2734
15421,14407
3752,9753
8038,13134
21680,4830
15084,17951
15371,1221
2679,18798
13458,18590
13943,15132
3252,1606
2050,9324
8623,19981
14174,14901
12699,1051
10423,21014
21180,4784
8375,12122
13885,4016
17858,21079
3806,7387
7059,13514
8433,20355
3848,18306
19765,11307
13393,18306
9118,5416
4629,959
1154,17106
15201,6205
11307,20234
21180,2795
7179,13750
9481,900
17002,737
13033,8192
15537,4481
7448,1539
16399,8488
8688,3752
8944,14836
7928,3590
12752,17198
5253,18590
14112,15999
17248,8688
6702,7704
7448,10832
21234,19928
19668,6895
16205,11188
12645,6463
14452,14407
11416,9649
7869,14714
14278,1277
19807,11850
12873,12255
19981,16111
17951,4895
15586,9541
11564,9271
20439,7569
3428,12255
8831,20479
20234,8944
5865,11082
8192,13794
2343,4741
2625,9604
19715,17292
12873,19506
1701,17951
12603,5472
20804,16855
19603,14552
10146,11036
4830,10378
21136,17049
13943,7122
3089,5865
9158,12873
5306,5737
18395,9481
18056,2285
1606,12189
3315,11188
11799,16399
18155,11564
14714,4234
11255,15760
17403,20395
15692,9158
11680,5366
21079,2343
3032,16043
18204,4784

